Irradiance Corrected	no	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	
V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	V [V] 	I [A]	
0.007099152	0.03296705	0.00711298	0.000723001249935115	0.007091045	0.000678948015439879	0.007102013	0.000701103586236257	0.007101059	0.000728274956715153	0.007089853	0.000730455837117807	0.007106781	-9.57543162120521E-05	0.00707674	0.000615082795969036	0.007110834	0.000590498897359557	0.007100582	0.000593246304212777	0.007100821	0.000556542150865714	0.007100582	0.0170722122358488	0.007094622	0.0171055072256728	0.003520489	0.017141215372841	0.003508329	0.0170315113507043	0.003500223	0.0164913333711904	0.003501415	0.016481100240835	-0.3824005	0.0166540514886449	-0.3825207	0.0174042450212762	-0.3777599	0.01740579200859	-0.3776112	0.0172223120131631	
0.014101980724	0.03294165	0.014098737116	0.000720595229935115	0.014097688152	0.000676373295439879	0.014095306924	0.000698148926236258	0.014094497614	0.000724677796715152	0.014084194656	0.000729440637117807	0.014108801072	-0.000203391755212052	0.014091444548	0.000612484935969036	0.014096118102	0.000586575117359557	0.014089537628	0.000590765044212777	0.014095448674	0.000553040330865714	0.014092158362	0.0170911082358488	0.014090729832	0.0171358312256728	0.007055092846	0.017148201372841	0.007055473032	0.0170455593507043	0.007044695804	0.0164923153711904	0.00704922667	0.016499572240835	-0.36532976	0.0166855254886449	-0.36536104	0.0173856690212762	-0.3553749	0.01739432000859	-0.35529442	0.0172264360131631	
0.0211368064	0.032944204	0.021133278	0.000718186409935115	0.021127269	0.000673867615439879	0.0211306106	0.000695412366236257	0.0211308498	0.000722243516715152	0.0211198786	0.000726914377117808	0.0211360462	-0.000309034784212052	0.021125032	0.000610118835969036	0.0211351408	0.000583976917359557	0.0211292744	0.000588062404212777	0.0211351862	0.000550227150865714	0.0211313724	0.0170684862358488	0.0211285604	0.0171210312256728	0.0105767252	0.017135007372841	0.0105760096	0.0170240173507043	0.0105658992	0.0164850813711904	0.0105702408	0.016482680240835	-0.34825098	0.0166676734886449	-0.34829178	0.0173694530212762	-0.33335724	0.01738054800859	-0.33327256	0.0172048740131631	
0.028156136	0.032946092	0.02815275	0.000715628529935115	0.02815561	0.000671021475439879	0.028146744	0.000692563166236257	0.028146364	0.000719501696715152	0.028144978	0.000724292897117808	0.028155996	-0.000415548176212052	0.028150274	0.000607320655969036	0.028151322	0.000580935637359557	0.028148842	0.000585637064212777	0.028155136	0.000547253030865714	0.028151846	0.0170630902358488	0.02815118	0.0171178052256728	0.0140913494	0.017134513372841	0.0140963078	0.0170204213507043	0.0140832886	0.0164767173711904	0.0140888218	0.016483972240835	-0.33119624	0.0166670434886449	-0.3312168	0.0173626730212762	-0.3112751	0.01736771400859	-0.31120414	0.0171967620131631	
0.035183716	0.032944322	0.03517866	0.000712960469935115	0.035178134	0.000668320955439879	0.03517456	0.000689393506236257	0.03517523	0.000716927516715152	0.035171126	0.000721407277117807	0.035183812	-0.000521638656212052	0.035173322	0.000604664595969036	0.035181808	0.000578185717359557	0.03517852	0.000582844644212777	0.035188008	0.000544205530865714	0.035179378	0.0170523702358488	0.035178234	0.0171106412256728	0.017597724	0.017128603372841	0.01759901	0.0170170873507043	0.017586086	0.0164795833711904	0.017589426	0.016482526240835	-0.31405452	0.0166518174886449	-0.31406516	0.0173577930212762	-0.28903732	0.01735903600859	-0.28895986	0.0171855760131631	
0.04221821	0.032948514	0.042216682	0.000710203049935115	0.042218588	0.000665395915439879	0.04220724	0.000686683966236257	0.042205478	0.000714211416715152	0.042212008	0.000718671457117807	0.042219544	-0.000628429756212052	0.042210532	0.000601689835969036	0.042213964	0.000575316477359557	0.042208338	0.000580308544212777	0.042217256	0.000541389130865714	0.042216398	0.0170492482358488	0.042215588	0.0171105192256728	0.02111373	0.017129665372841	0.021117686	0.0170107033507043	0.021100806	0.0164732473711904	0.021107626	0.016481938240835	-0.29707224	0.0166497354886449	-0.29704474	0.0173485270212762	-0.26701546	0.01734552800859	-0.2669502	0.0171794940131631	
0.049239732	0.032950466	0.049233294	0.000707375549935115	0.04923744	0.000662714855439879	0.049231432	0.000683642446236257	0.049232102	0.000711510256715152	0.049233292	0.000715918837117807	0.049243546	-0.000734920756212052	0.049231768	0.000598977335969036	0.04923787	0.000572177117359557	0.04923296	0.000577427764212777	0.049241878	0.000538189350865714	0.049237824	0.0170418322358488	0.049237826	0.0171096692256728	0.024632788	0.017127239372841	0.024633932	0.0170118273507043	0.024620008	0.0164724993711904	0.024623774	0.016474474240835	-0.2799244	0.0166406634886449	-0.2799053	0.0173457590212762	-0.24498558	0.01733404200859	-0.24491652	0.0171709460131631	
0.056255438	0.032939324	0.0562572	0.000704499949935115	0.056258724	0.000659756135439879	0.056247566	0.000680822786236257	0.05625124	0.000708886016715153	0.056252764	0.000712934457117807	0.056260062	-0.000842058716212052	0.056252384	0.000596015375969036	0.05625286	0.000569239957359557	0.056251908	0.000574714484212777	0.056260636	0.000535128230865714	0.056259488	0.0170334242358488	0.056259062	0.0171017572256728	0.028149654	0.017125257372841	0.02815299	0.0170102813507043	0.028134584	0.0164709033711904	0.028145024	0.016468370240835	-0.26285744	0.0166394214886449	-0.26283874	0.0173390210212762	-0.22289544	0.01732496200859	-0.22282598	0.0171722600131631	
0.063284446	0.03293205	0.063279868	0.000701796549935115	0.0632812	0.000656739115439879	0.063277434	0.000677950266236257	0.0632823	0.000705982256715152	0.063274668	0.000710392217117807	0.063283492	-0.000949321116212052	0.063281106	0.000593311755969036	0.063284016	0.000566243417359557	0.063275528	0.000571741264212777	0.063286878	0.000531965330865714	0.06328597	0.0170271422358488	0.063285544	0.0171005452256728	0.031669332	0.017123155372841	0.031669998	0.0170049153507043	0.031653546	0.0164685513711904	0.031664034	0.016465116240835	-0.24578858	0.0166269354886449	-0.24575578	0.0173303010212762	-0.2007786	0.01730826400859	-0.20072134	0.0171572540131631	
0.070306206	0.032937002	0.07030883	0.000698767289935115	0.070308684	0.000653423295439879	0.070304678	0.000675210506236257	0.070302868	0.000703379256715152	0.070301818	0.000707139777117807	0.070308114	-0.00105656305621205	0.070311594	0.000590234695969036	0.070310308	0.000563427097359557	0.070302342	0.000569044084212777	0.070311738	0.000528790830865714	0.070315122	0.0170215022358488	0.070314028	0.0170915752256728	0.035186768	0.017127399372841	0.035190248	0.0170007513507043	0.035170554	0.0164686953711904	0.035184238	0.016453256240835	-0.2287056	0.0166186614886449	-0.22870904	0.0173272390212762	-0.17876284	0.01729665600859	-0.17868956	0.0171529720131631	
0.077325724	0.03292247	0.077321436	0.000695972249935115	0.077328156	0.000650364075439879	0.077322052	0.000672213706236257	0.0773273	0.000700455656715153	0.0773211	0.000704124497117808	0.07732463	-0.00116364289621205	0.077335024	0.000587356975969036	0.077332546	0.000560493857359557	0.07732191	0.000565982264212777	0.077332354	0.000525714710865714	0.077334118	0.0170187362358488	0.077334454	0.0170884752256728	0.038705874	0.017123133372841	0.038707876	0.0170008313507043	0.038693618	0.0164651913711904	0.038702248	0.016457762240835	-0.21162262	0.0166085374886449	-0.21164018	0.0173182690212762	-0.15665208	0.01727766400859	-0.15657882	0.0171472940131631	
0.084354734	0.032923548	0.084357026	0.000692779489935115	0.084361744	0.000647072415439879	0.084356974	0.000669402646236257	0.084355736	0.000697577996715152	0.084353494	0.000701202117117807	0.08435488	-0.00127086287621205	0.084368134	0.000584411035969036	0.084365274	0.000557920337359557	0.084360454	0.000563077864212777	0.084367276	0.000522599390865714	0.084369326	0.0170145622358488	0.084367612	0.0170848392256728	0.042215252	0.017122173372841	0.042218828	0.0169940613507043	0.042203282	0.0164657273711904	0.042213772	0.016450868240835	-0.19468498	0.0165952294886449	-0.19471856	0.0173102790212762	-0.134543626	0.01726757800859	-0.134479892	0.0171418080131631	
