Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-400.00200E-003,-865.20500E-006,346.08373E-006
1,1,2,-395.31900E-003,-865.31600E-006,342.07586E-006
1,1,3,-390.63500E-003,-868.69200E-006,339.34150E-006
1,1,4,-385.95300E-003,-869.72700E-006,335.67374E-006
1,1,5,-381.27300E-003,-861.37600E-006,328.41941E-006
1,1,6,-376.58800E-003,-860.99700E-006,324.24114E-006
1,1,7,-371.91400E-003,-865.67700E-006,321.95740E-006
1,1,8,-367.21800E-003,-858.08700E-006,315.10499E-006
1,1,9,-362.53800E-003,-856.04900E-006,310.35029E-006
1,1,10,-357.85500E-003,-857.30700E-006,306.79160E-006
1,1,11,-353.18100E-003,-859.17500E-006,303.44429E-006
1,1,12,-348.49100E-003,-855.21500E-006,298.03473E-006
1,1,13,-343.81600E-003,-849.88400E-006,292.20372E-006
1,1,14,-339.12800E-003,-851.58300E-006,288.79564E-006
1,1,15,-334.44800E-003,-850.86900E-006,284.57144E-006
1,1,16,-329.77000E-003,-849.00100E-006,279.97506E-006
1,1,17,-325.07900E-003,-843.35300E-006,274.15635E-006
1,1,18,-320.39900E-003,-843.63100E-006,270.29853E-006
1,1,19,-315.72100E-003,-841.08300E-006,265.54757E-006
1,1,20,-311.04200E-003,-841.28800E-006,261.67590E-006
1,1,21,-306.35000E-003,-837.36800E-006,256.52769E-006
1,1,22,-301.67100E-003,-836.35300E-006,252.30345E-006
1,1,23,-296.98700E-003,-837.82300E-006,248.82254E-006
1,1,24,-292.31100E-003,-836.38200E-006,244.48366E-006
1,1,25,-287.63200E-003,-834.13100E-006,239.92277E-006
1,1,26,-282.94000E-003,-828.96900E-006,234.54849E-006
1,1,27,-278.25900E-003,-831.00800E-006,231.23546E-006
1,1,28,-273.57900E-003,-829.96600E-006,227.06127E-006
1,1,29,-268.90000E-003,-827.64400E-006,222.55347E-006
1,1,30,-264.20900E-003,-821.13800E-006,216.95205E-006
1,1,31,-259.52600E-003,-823.24700E-006,213.65400E-006
1,1,32,-254.85300E-003,-822.62800E-006,209.64921E-006
1,1,33,-250.17400E-003,-818.19300E-006,204.69062E-006
1,1,34,-245.48000E-003,-814.27800E-006,199.88896E-006
1,1,35,-240.80000E-003,-814.31900E-006,196.08802E-006
1,1,36,-236.11700E-003,-814.73200E-006,192.37208E-006
1,1,37,-231.44200E-003,-810.04400E-006,187.47820E-006
1,1,38,-226.76000E-003,-806.77800E-006,182.94498E-006
1,1,39,-222.07100E-003,-807.90200E-006,179.41161E-006
1,1,40,-217.39000E-003,-810.23100E-006,176.13612E-006
1,1,41,-212.71200E-003,-800.83900E-006,170.34807E-006
1,1,42,-208.02700E-003,-794.96400E-006,165.37398E-006
1,1,43,-203.34170E-003,-793.38000E-006,161.32724E-006
1,1,44,-198.66560E-003,-793.77600E-006,157.69599E-006
1,1,45,-193.97940E-003,-794.42800E-006,154.10267E-006
1,1,46,-189.29860E-003,-793.71600E-006,150.24933E-006
1,1,47,-184.61510E-003,-794.63900E-006,146.70236E-006
1,1,48,-179.93410E-003,-788.59600E-006,141.89531E-006
1,1,49,-175.25390E-003,-783.84800E-006,137.37242E-006
1,1,50,-170.56700E-003,-780.30800E-006,133.09479E-006
1,1,51,-165.88480E-003,-783.33900E-006,129.94403E-006
1,1,52,-161.20260E-003,-784.86600E-006,126.52244E-006
1,1,53,-156.52340E-003,-781.99300E-006,122.40020E-006
1,1,54,-151.83940E-003,-777.05500E-006,117.98756E-006
1,1,55,-147.15700E-003,-770.74100E-006,113.41993E-006
1,1,56,-142.47530E-003,-772.13600E-006,110.01031E-006
