Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99800E-003,-959.02000E-006,383.60608E-006
1,1,2,-395.31700E-003,-959.25000E-006,379.20783E-006
1,1,3,-390.64100E-003,-960.39000E-006,375.16771E-006
1,1,4,-385.95200E-003,-952.20000E-006,367.50349E-006
1,1,5,-381.26800E-003,-953.10000E-006,363.38653E-006
1,1,6,-376.58700E-003,-955.97000E-006,360.00587E-006
1,1,7,-371.91300E-003,-956.75000E-006,355.82776E-006
1,1,8,-367.22100E-003,-953.83000E-006,350.26641E-006
1,1,9,-362.54000E-003,-953.99000E-006,345.85953E-006
1,1,10,-357.86000E-003,-957.22000E-006,342.55075E-006
1,1,11,-353.18400E-003,-951.14000E-006,335.92743E-006
1,1,12,-348.49000E-003,-950.38000E-006,331.19793E-006
1,1,13,-343.80700E-003,-947.97000E-006,325.91872E-006
1,1,14,-339.12900E-003,-950.53000E-006,322.35229E-006
1,1,15,-334.44500E-003,-949.05000E-006,317.40503E-006
1,1,16,-329.77500E-003,-949.51000E-006,313.12466E-006
1,1,17,-325.07800E-003,-946.00000E-006,307.52379E-006
1,1,18,-320.40600E-003,-942.52000E-006,301.98906E-006
1,1,19,-315.72200E-003,-940.39000E-006,296.90181E-006
1,1,20,-311.04100E-003,-938.40000E-006,291.88087E-006
1,1,21,-306.34700E-003,-938.01000E-006,287.35655E-006
1,1,22,-301.67300E-003,-931.62000E-006,281.04460E-006
1,1,23,-296.98700E-003,-930.59000E-006,276.37313E-006
1,1,24,-292.30700E-003,-932.28000E-006,272.51197E-006
1,1,25,-287.63000E-003,-939.49000E-006,270.22551E-006
1,1,26,-282.93800E-003,-934.53000E-006,264.41405E-006
1,1,27,-278.26100E-003,-930.59000E-006,258.94690E-006
1,1,28,-273.57800E-003,-933.15000E-006,255.28931E-006
1,1,29,-268.90100E-003,-936.84000E-006,251.91721E-006
1,1,30,-264.20900E-003,-938.14000E-006,247.86503E-006
1,1,31,-259.53400E-003,-929.90000E-006,241.34067E-006
1,1,32,-254.84800E-003,-925.32000E-006,235.81595E-006
1,1,33,-250.17000E-003,-922.74000E-006,230.84187E-006
1,1,34,-245.47700E-003,-928.94000E-006,228.03340E-006
1,1,35,-240.80000E-003,-928.49000E-006,223.58039E-006
1,1,36,-236.12400E-003,-924.08000E-006,218.19747E-006
1,1,37,-231.44000E-003,-915.88000E-006,211.97127E-006
1,1,38,-226.75900E-003,-917.56000E-006,208.06499E-006
1,1,39,-222.07000E-003,-918.51000E-006,203.97352E-006
1,1,40,-217.39200E-003,-916.34000E-006,199.20499E-006
1,1,41,-212.71000E-003,-914.61000E-006,194.54669E-006
1,1,42,-208.02860E-003,-914.79000E-006,190.30248E-006
1,1,43,-203.34180E-003,-915.08000E-006,186.07401E-006
1,1,44,-198.66160E-003,-906.77000E-006,180.14038E-006
1,1,45,-193.97840E-003,-906.38000E-006,175.81814E-006
1,1,46,-189.29960E-003,-907.20000E-006,171.73260E-006
1,1,47,-184.61720E-003,-910.09000E-006,168.01827E-006
1,1,48,-179.93370E-003,-901.88000E-006,162.27861E-006
1,1,49,-175.25070E-003,-897.04000E-006,157.20689E-006
1,1,50,-170.56750E-003,-898.76000E-006,153.29925E-006
1,1,51,-165.88720E-003,-900.38000E-006,149.36152E-006
1,1,52,-161.20630E-003,-898.22000E-006,144.79872E-006
1,1,53,-156.52120E-003,-892.00000E-006,139.61691E-006
1,1,54,-151.83870E-003,-894.68200E-006,135.84735E-006
1,1,55,-147.15540E-003,-894.67700E-006,131.65655E-006
1,1,56,-142.47610E-003,-888.24800E-006,126.55411E-006
1,1,57,-137.79150E-003,-883.83900E-006,121.78550E-006
1,1,58,-133.10780E-003,-882.80600E-006,117.50836E-006
1,1,59,-128.42870E-003,-888.06400E-006,114.05291E-006
1,1,60,-123.74670E-003,-884.60200E-006,109.46658E-006
1,1,61,-119.06430E-003,-880.94600E-006,104.88922E-006
1,1,62,-114.37980E-003,-876.69100E-006,100.27574E-006
1,1,63,-109.69910E-003,-880.66500E-006,96.60816E-006
1,1,64,-105.01880E-003,-877.68600E-006,92.17353E-006
1,1,65,-100.33760E-003,-869.79400E-006,87.27304E-006
1,1,66,-95.65150E-003,-867.28800E-006,82.95740E-006
1,1,67,-90.96840E-003,-869.66400E-006,79.11194E-006
1,1,68,-86.28950E-003,-869.92200E-006,75.06513E-006
1,1,69,-81.60780E-003,-860.60200E-006,70.23184E-006
1,1,70,-76.91950E-003,-859.47400E-006,66.11031E-006
1,1,71,-72.23820E-003,-860.84200E-006,62.18568E-006
1,1,72,-67.55930E-003,-862.27000E-006,58.25436E-006
1,1,73,-62.87690E-003,-854.74900E-006,53.74397E-006
1,1,74,-58.19440E-003,-853.92900E-006,49.69389E-006
1,1,75,-53.51080E-003,-856.60800E-006,45.83778E-006
1,1,76,-48.82870E-003,-855.30800E-006,41.76358E-006
1,1,77,-44.14790E-003,-850.58800E-006,37.55167E-006
1,1,78,-39.46490E-003,-847.61900E-006,33.45120E-006
1,1,79,-34.77890E-003,-850.75500E-006,29.58832E-006
1,1,80,-30.10120E-003,-846.91100E-006,25.49304E-006
1,1,81,-25.41790E-003,-842.92300E-006,21.42533E-006
1,1,82,-20.73570E-003,-841.23000E-006,17.44349E-006
1,1,83,-16.05610E-003,-843.28800E-006,13.53992E-006
1,1,84,-11.37080E-003,-839.95500E-006,9.55096E-006
1,1,85,-6.68990E-003,-835.43100E-006,5.58895E-006
1,1,86,-2.00620E-003,-832.21600E-006,1.66959E-006
1,1,87,2.67600E-003,-831.04200E-006,-2.22387E-006
1,1,88,7.35830E-003,-833.52000E-006,-6.13329E-006
1,1,89,12.03700E-003,-829.52600E-006,-9.98500E-006
1,1,90,16.72350E-003,-828.56800E-006,-13.85656E-006
1,1,91,21.40800E-003,-824.78100E-006,-17.65691E-006
1,1,92,26.08510E-003,-824.42100E-006,-21.50510E-006
1,1,93,30.76610E-003,-819.94500E-006,-25.22651E-006
1,1,94,35.45100E-003,-816.33700E-006,-28.93996E-006
1,1,95,40.13580E-003,-818.30300E-006,-32.84325E-006
1,1,96,44.81610E-003,-815.63600E-006,-36.55362E-006
1,1,97,49.49730E-003,-812.71400E-006,-40.22715E-006
1,1,98,54.18270E-003,-806.35900E-006,-43.69071E-006
1,1,99,58.86150E-003,-809.33700E-006,-47.63879E-006
1,1,100,63.54730E-003,-808.41400E-006,-51.37253E-006
1,1,101,68.22440E-003,-803.39000E-006,-54.81080E-006
1,1,102,72.91140E-003,-796.65200E-006,-58.08501E-006
1,1,103,77.59380E-003,-798.51400E-006,-61.95974E-006
1,1,104,82.27310E-003,-799.18100E-006,-65.75110E-006
1,1,105,86.95440E-003,-792.52000E-006,-68.91310E-006
1,1,106,91.63950E-003,-787.86100E-006,-72.19919E-006
1,1,107,96.32120E-003,-788.80300E-006,-75.97845E-006
1,1,108,101.00380E-003,-791.41000E-006,-79.93542E-006
1,1,109,105.68580E-003,-782.73300E-006,-82.72376E-006
1,1,110,110.36860E-003,-780.95400E-006,-86.19280E-006
1,1,111,115.04820E-003,-782.43400E-006,-90.01762E-006
1,1,112,119.73080E-003,-778.25100E-006,-93.18061E-006
1,1,113,124.41720E-003,-777.82600E-006,-96.77493E-006
1,1,114,129.09480E-003,-776.12200E-006,-100.19331E-006
1,1,115,133.77950E-003,-775.75800E-006,-103.78052E-006
1,1,116,138.46320E-003,-770.36000E-006,-106.66651E-006
1,1,117,143.14390E-003,-767.74300E-006,-109.89773E-006
1,1,118,147.82890E-003,-764.88200E-006,-113.07166E-006
1,1,119,152.50760E-003,-763.38000E-006,-116.42125E-006
