Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99900E-003,-866.51100E-006,346.60353E-006
1,1,2,-395.32000E-003,-864.33500E-006,341.68891E-006
1,1,3,-390.64300E-003,-855.95800E-006,334.37400E-006
1,1,4,-385.94900E-003,-857.32200E-006,330.88257E-006
1,1,5,-381.26800E-003,-857.62300E-006,326.98421E-006
1,1,6,-376.59100E-003,-859.50900E-006,323.68335E-006
1,1,7,-371.91100E-003,-853.73400E-006,317.51307E-006
1,1,8,-367.21800E-003,-853.00100E-006,313.23732E-006
1,1,9,-362.54300E-003,-857.06500E-006,310.72292E-006
1,1,10,-357.86200E-003,-851.91800E-006,304.86908E-006
1,1,11,-353.18400E-003,-847.32300E-006,299.26093E-006
1,1,12,-348.48400E-003,-846.15700E-006,294.87218E-006
1,1,13,-343.80700E-003,-851.32300E-006,292.69081E-006
1,1,14,-339.12900E-003,-849.44200E-006,288.07042E-006
1,1,15,-334.45400E-003,-842.08000E-006,281.63702E-006
1,1,16,-329.76800E-003,-841.01600E-006,277.34016E-006
1,1,17,-325.07700E-003,-845.72400E-006,274.92542E-006
1,1,18,-320.40000E-003,-847.09200E-006,271.40828E-006
1,1,19,-315.72400E-003,-838.12000E-006,264.61460E-006
1,1,20,-311.04200E-003,-835.96900E-006,260.02147E-006
1,1,21,-306.34600E-003,-838.34900E-006,256.82486E-006
1,1,22,-301.67100E-003,-842.38400E-006,254.12282E-006
1,1,23,-296.99000E-003,-835.58400E-006,248.16009E-006
1,1,24,-292.31000E-003,-834.26200E-006,243.86313E-006
1,1,25,-287.62500E-003,-836.91300E-006,240.71710E-006
1,1,26,-282.94500E-003,-835.76700E-006,236.47609E-006
1,1,27,-278.25800E-003,-831.52400E-006,231.37821E-006
1,1,28,-273.58000E-003,-829.76700E-006,227.00766E-006
1,1,29,-268.89800E-003,-832.56600E-006,223.87533E-006
1,1,30,-264.21400E-003,-829.01500E-006,219.03737E-006
1,1,31,-259.53200E-003,-826.28600E-006,214.44766E-006
1,1,32,-254.85100E-003,-824.34500E-006,210.08515E-006
1,1,33,-250.17000E-003,-827.49100E-006,207.01342E-006
1,1,34,-245.48100E-003,-823.66400E-006,202.19386E-006
1,1,35,-240.79800E-003,-821.25800E-006,197.75728E-006
1,1,36,-236.12000E-003,-820.28800E-006,193.68640E-006
1,1,37,-231.44300E-003,-822.28900E-006,190.31303E-006
1,1,38,-226.75900E-003,-821.35800E-006,186.25032E-006
1,1,39,-222.07400E-003,-818.00700E-006,181.65809E-006
1,1,40,-217.38700E-003,-816.00900E-006,177.38975E-006
1,1,41,-212.70800E-003,-814.32800E-006,173.21408E-006
1,1,42,-208.02720E-003,-815.18400E-006,169.58045E-006
1,1,43,-203.34670E-003,-811.09200E-006,164.93288E-006
1,1,44,-198.66280E-003,-810.07400E-006,160.93157E-006
1,1,45,-193.97700E-003,-808.65400E-006,156.86028E-006
1,1,46,-189.29880E-003,-809.75700E-006,153.28603E-006
1,1,47,-184.61530E-003,-806.45500E-006,148.88393E-006
1,1,48,-179.93500E-003,-801.40200E-006,144.20027E-006
1,1,49,-175.24750E-003,-805.02700E-006,141.07897E-006
1,1,50,-170.57070E-003,-804.67500E-006,137.25398E-006
1,1,51,-165.88660E-003,-801.55300E-006,132.96690E-006
1,1,52,-161.20490E-003,-794.29100E-006,128.04360E-006
1,1,53,-156.52160E-003,-797.54300E-006,124.83271E-006
1,1,54,-151.83970E-003,-798.40300E-006,121.22927E-006
1,1,55,-147.15910E-003,-793.09600E-006,116.71129E-006
1,1,56,-142.47290E-003,-789.18900E-006,112.43805E-006
1,1,57,-137.79190E-003,-790.91500E-006,108.98168E-006
1,1,58,-133.10740E-003,-793.20200E-006,105.58106E-006
1,1,59,-128.42600E-003,-785.44600E-006,100.87169E-006
1,1,60,-123.74470E-003,-781.87500E-006,96.75289E-006
1,1,61,-119.05940E-003,-782.61600E-006,93.17779E-006
1,1,62,-114.38010E-003,-788.11000E-006,90.14410E-006
1,1,63,-109.70010E-003,-782.07700E-006,85.79393E-006
1,1,64,-105.01790E-003,-777.49100E-006,81.65047E-006
1,1,65,-100.32970E-003,-778.55000E-006,78.11169E-006
1,1,66,-95.65530E-003,-779.66400E-006,74.57899E-006
1,1,67,-90.97000E-003,-776.00000E-006,70.59272E-006
1,1,68,-86.28790E-003,-770.62100E-006,66.49527E-006
1,1,69,-81.60440E-003,-770.99800E-006,62.91683E-006
1,1,70,-76.92070E-003,-769.72800E-006,59.20802E-006
1,1,71,-72.24150E-003,-768.40700E-006,55.51087E-006
1,1,72,-67.56070E-003,-764.36200E-006,51.64083E-006
1,1,73,-62.87610E-003,-764.16900E-006,48.04797E-006
1,1,74,-58.19020E-003,-765.80300E-006,44.56223E-006
1,1,75,-53.51230E-003,-766.44500E-006,41.01423E-006
1,1,76,-48.82840E-003,-763.27500E-006,37.26950E-006
1,1,77,-44.14600E-003,-758.51100E-006,33.48523E-006
1,1,78,-39.46390E-003,-760.73700E-006,30.02165E-006
1,1,79,-34.78460E-003,-757.24300E-006,26.34039E-006
1,1,80,-30.10110E-003,-753.44300E-006,22.67946E-006
1,1,81,-25.41670E-003,-748.93500E-006,19.03546E-006
1,1,82,-20.73370E-003,-751.73000E-006,15.58614E-006
1,1,83,-16.05560E-003,-749.84900E-006,12.03928E-006
1,1,84,-11.37630E-003,-744.87200E-006,8.47389E-006
1,1,85,-6.68870E-003,-741.32500E-006,4.95850E-006
1,1,86,-2.00640E-003,-743.06000E-006,1.49088E-006
1,1,87,2.67670E-003,-742.30200E-006,-1.98692E-006
1,1,88,7.35560E-003,-733.02300E-006,-5.39182E-006
1,1,89,12.04030E-003,-731.54100E-006,-8.80797E-006
1,1,90,16.72270E-003,-733.70100E-006,-12.26946E-006
1,1,91,21.40290E-003,-736.65900E-006,-15.76664E-006
1,1,92,26.08660E-003,-730.57600E-006,-19.05824E-006
1,1,93,30.76940E-003,-728.72400E-006,-22.42240E-006
1,1,94,35.44990E-003,-727.64300E-006,-25.79487E-006
1,1,95,40.13300E-003,-722.45100E-006,-28.99413E-006
1,1,96,44.81520E-003,-719.36800E-006,-32.23862E-006
1,1,97,49.49740E-003,-717.66600E-006,-35.52260E-006
1,1,98,54.18220E-003,-720.02600E-006,-39.01259E-006
1,1,99,58.86430E-003,-715.68900E-006,-42.12853E-006
1,1,100,63.54450E-003,-712.91900E-006,-45.30208E-006
1,1,101,68.22820E-003,-710.70400E-006,-48.49005E-006
1,1,102,72.91030E-003,-711.50500E-006,-51.87604E-006
1,1,103,77.59380E-003,-708.59800E-006,-54.98281E-006
1,1,104,82.27460E-003,-707.22600E-006,-58.18674E-006
1,1,105,86.95750E-003,-704.78700E-006,-61.28652E-006
1,1,106,91.63880E-003,-701.93700E-006,-64.32466E-006
1,1,107,96.32170E-003,-702.17800E-006,-67.63498E-006
1,1,108,101.00210E-003,-698.56600E-006,-70.55663E-006
1,1,109,105.68860E-003,-695.17200E-006,-73.47176E-006
1,1,110,110.36300E-003,-690.01200E-006,-76.15179E-006
