Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-400.00400E-003,-1.01698E-003,406.79607E-006
1,1,2,-395.32000E-003,-1.01078E-003,399.58155E-006
1,1,3,-390.64300E-003,-1.01015E-003,394.60803E-006
1,1,4,-385.94700E-003,-1.01361E-003,391.19974E-006
1,1,5,-381.27500E-003,-1.01317E-003,386.29639E-006
1,1,6,-376.59000E-003,-1.01134E-003,380.86053E-006
1,1,7,-371.91100E-003,-1.00880E-003,375.18382E-006
1,1,8,-367.22400E-003,-1.01166E-003,371.50583E-006
1,1,9,-362.53900E-003,-1.00850E-003,365.62058E-006
1,1,10,-357.86100E-003,-1.00663E-003,360.23362E-006
1,1,11,-353.17800E-003,-1.00700E-003,355.65025E-006
1,1,12,-348.49300E-003,-1.00744E-003,351.08579E-006
1,1,13,-343.80900E-003,-1.00739E-003,346.34975E-006
1,1,14,-339.13400E-003,-1.00406E-003,340.51088E-006
1,1,15,-334.45000E-003,-1.00365E-003,335.67074E-006
1,1,16,-329.77300E-003,-1.00175E-003,330.35010E-006
1,1,17,-325.08400E-003,-1.00205E-003,325.75042E-006
1,1,18,-320.39900E-003,-997.15000E-006,319.48586E-006
1,1,19,-315.72100E-003,-998.01000E-006,315.09272E-006
1,1,20,-311.03900E-003,-995.08000E-006,309.50869E-006
1,1,21,-306.35100E-003,-996.47000E-006,305.26958E-006
1,1,22,-301.67000E-003,-992.63000E-006,299.44669E-006
1,1,23,-296.99700E-003,-991.78000E-006,294.55568E-006
1,1,24,-292.31100E-003,-990.87000E-006,289.64220E-006
1,1,25,-287.63100E-003,-993.07000E-006,285.63772E-006
1,1,26,-282.94100E-003,-990.52000E-006,280.25872E-006
1,1,27,-278.26400E-003,-985.06000E-006,274.10674E-006
1,1,28,-273.57600E-003,-984.88000E-006,269.43953E-006
1,1,29,-268.90000E-003,-986.67000E-006,265.31556E-006
1,1,30,-264.21000E-003,-987.39000E-006,260.87831E-006
1,1,31,-259.53100E-003,-977.96000E-006,253.81094E-006
1,1,32,-254.84800E-003,-978.45000E-006,249.35603E-006
1,1,33,-250.16600E-003,-981.06000E-006,245.42786E-006
1,1,34,-245.48300E-003,-980.58000E-006,240.71572E-006
1,1,35,-240.80200E-003,-971.97000E-006,234.05232E-006
1,1,36,-236.12000E-003,-969.95000E-006,229.02459E-006
1,1,37,-231.43600E-003,-973.71000E-006,225.35155E-006
1,1,38,-226.76000E-003,-973.36000E-006,220.71911E-006
1,1,39,-222.07100E-003,-968.02000E-006,214.96917E-006
1,1,40,-217.39200E-003,-963.55000E-006,209.46806E-006
1,1,41,-212.71100E-003,-969.48000E-006,206.21906E-006
1,1,42,-208.02790E-003,-968.52000E-006,201.47918E-006
1,1,43,-203.34510E-003,-966.47000E-006,196.52694E-006
1,1,44,-198.66070E-003,-960.15000E-006,190.74407E-006
1,1,45,-193.97980E-003,-961.55000E-006,186.52128E-006
1,1,46,-189.29690E-003,-962.16000E-006,182.13391E-006
1,1,47,-184.61590E-003,-957.89000E-006,176.84172E-006
1,1,48,-179.93340E-003,-955.77000E-006,171.97495E-006
1,1,49,-175.24900E-003,-954.90000E-006,167.34527E-006
1,1,50,-170.56590E-003,-958.17000E-006,163.43113E-006
1,1,51,-165.88840E-003,-952.85000E-006,158.06676E-006
1,1,52,-161.20160E-003,-949.30000E-006,153.02868E-006
1,1,53,-156.51730E-003,-948.69000E-006,148.48640E-006
1,1,54,-151.83920E-003,-951.46000E-006,144.46893E-006
1,1,55,-147.15530E-003,-948.13000E-006,139.52235E-006
1,1,56,-142.47810E-003,-942.78000E-006,134.32550E-006
1,1,57,-137.79200E-003,-944.01000E-006,130.07703E-006
1,1,58,-133.11050E-003,-946.00000E-006,125.92253E-006
1,1,59,-128.42990E-003,-944.75000E-006,121.33415E-006
1,1,60,-123.74820E-003,-935.19000E-006,115.72808E-006
1,1,61,-119.06370E-003,-935.95000E-006,111.43767E-006
1,1,62,-114.38000E-003,-937.08000E-006,107.18321E-006
1,1,63,-109.70160E-003,-936.31000E-006,102.71471E-006
1,1,64,-105.01850E-003,-930.28000E-006,97.69661E-006
1,1,65,-100.33230E-003,-931.50000E-006,93.45954E-006
1,1,66,-95.64870E-003,-935.77000E-006,89.50518E-006
1,1,67,-90.96980E-003,-932.74000E-006,84.85117E-006
1,1,68,-86.28740E-003,-929.36000E-006,80.19206E-006
1,1,69,-81.60210E-003,-926.72000E-006,75.62230E-006
1,1,70,-76.92350E-003,-929.36000E-006,71.48962E-006
1,1,71,-72.23990E-003,-924.31000E-006,66.77206E-006
1,1,72,-67.55990E-003,-921.63000E-006,62.26523E-006
1,1,73,-62.87450E-003,-919.59000E-006,57.81876E-006
1,1,74,-58.19350E-003,-921.61000E-006,53.63171E-006
1,1,75,-53.51260E-003,-919.05000E-006,49.18076E-006
1,1,76,-48.83230E-003,-913.18000E-006,44.59268E-006
1,1,77,-44.14630E-003,-911.53000E-006,40.24068E-006
1,1,78,-39.46210E-003,-908.17000E-006,35.83830E-006
1,1,79,-34.78150E-003,-910.50000E-006,31.66856E-006
1,1,80,-30.10010E-003,-907.08000E-006,27.30320E-006
1,1,81,-25.41980E-003,-905.45000E-006,23.01636E-006
1,1,82,-20.73430E-003,-901.96000E-006,18.70151E-006
1,1,83,-16.05560E-003,-902.51000E-006,14.49034E-006
1,1,84,-11.37220E-003,-896.54000E-006,10.19563E-006
1,1,85,-6.69050E-003,-889.23000E-006,5.94939E-006
1,1,86,-2.00520E-003,-898.03300E-006,1.80074E-006
1,1,87,2.67690E-003,-898.97100E-006,-2.40646E-006
1,1,88,7.35450E-003,-891.80600E-006,-6.55879E-006
1,1,89,12.04320E-003,-890.84800E-006,-10.72866E-006
1,1,90,16.72370E-003,-896.28600E-006,-14.98922E-006
1,1,91,21.40790E-003,-898.66200E-006,-19.23847E-006
