Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99900E-003,-868.09500E-006,347.23713E-006
1,1,2,-395.31900E-003,-873.89700E-006,345.46809E-006
1,1,3,-390.63900E-003,-874.42700E-006,341.58529E-006
1,1,4,-385.95600E-003,-867.87200E-006,334.96041E-006
1,1,5,-381.26900E-003,-860.86800E-006,328.22228E-006
1,1,6,-376.58800E-003,-864.51100E-006,325.56447E-006
1,1,7,-371.91400E-003,-865.04300E-006,321.72160E-006
1,1,8,-367.22000E-003,-856.57700E-006,314.55221E-006
1,1,9,-362.54000E-003,-856.61500E-006,310.55720E-006
1,1,10,-357.85700E-003,-861.29600E-006,308.22080E-006
1,1,11,-353.18400E-003,-860.53700E-006,303.92790E-006
1,1,12,-348.49200E-003,-854.64100E-006,297.83555E-006
1,1,13,-343.80900E-003,-852.53200E-006,293.10817E-006
1,1,14,-339.12500E-003,-857.10100E-006,290.66438E-006
1,1,15,-334.45400E-003,-855.58300E-006,286.15316E-006
1,1,16,-329.77500E-003,-852.28500E-006,281.06229E-006
1,1,17,-325.07900E-003,-848.42100E-006,275.80385E-006
1,1,18,-320.39900E-003,-852.22900E-006,273.05332E-006
1,1,19,-315.72100E-003,-850.92000E-006,268.65331E-006
1,1,20,-311.04100E-003,-849.54100E-006,264.24208E-006
1,1,21,-306.35100E-003,-843.99500E-006,258.55871E-006
1,1,22,-301.66900E-003,-846.46400E-006,255.35195E-006
1,1,23,-296.98900E-003,-846.35900E-006,251.35931E-006
1,1,24,-292.31200E-003,-842.67000E-006,246.32255E-006
1,1,25,-287.62700E-003,-840.17100E-006,241.65586E-006
1,1,26,-282.94000E-003,-837.27600E-006,236.89887E-006
1,1,27,-278.26100E-003,-840.99800E-006,234.01694E-006
1,1,28,-273.58100E-003,-837.65200E-006,229.16567E-006
1,1,29,-268.90200E-003,-834.86100E-006,224.49579E-006
1,1,30,-264.20800E-003,-831.07400E-006,219.57640E-006
1,1,31,-259.52900E-003,-834.59600E-006,216.60187E-006
1,1,32,-254.85400E-003,-832.35900E-006,212.13002E-006
1,1,33,-250.17200E-003,-825.90600E-006,206.61856E-006
1,1,34,-245.47900E-003,-823.93200E-006,202.25800E-006
1,1,35,-240.80300E-003,-826.36800E-006,198.99189E-006
1,1,36,-236.12000E-003,-827.09800E-006,195.29438E-006
1,1,37,-231.44300E-003,-819.05000E-006,189.56339E-006
1,1,38,-226.76100E-003,-817.68600E-006,185.41930E-006
1,1,39,-222.06900E-003,-819.09000E-006,181.89450E-006
1,1,40,-217.39300E-003,-819.07100E-006,178.06030E-006
1,1,41,-212.71200E-003,-811.36300E-006,172.58665E-006
1,1,42,-208.02790E-003,-811.08100E-006,168.72748E-006
1,1,43,-203.34160E-003,-813.32000E-006,165.38179E-006
1,1,44,-198.66260E-003,-813.19000E-006,161.55044E-006
1,1,45,-193.97940E-003,-808.80700E-006,156.89190E-006
1,1,46,-189.29590E-003,-807.32600E-006,152.82350E-006
1,1,47,-184.61370E-003,-810.43700E-006,149.61777E-006
1,1,48,-179.93320E-003,-805.30700E-006,144.90147E-006
1,1,49,-175.25180E-003,-803.98400E-006,140.89964E-006
1,1,50,-170.56810E-003,-802.28600E-006,136.84440E-006
1,1,51,-165.88640E-003,-804.85100E-006,133.51383E-006
1,1,52,-161.20510E-003,-800.79700E-006,129.09256E-006
1,1,53,-156.52300E-003,-796.92900E-006,124.73772E-006
1,1,54,-151.83710E-003,-796.47500E-006,120.93445E-006
1,1,55,-147.15740E-003,-794.26000E-006,116.88124E-006
1,1,56,-142.47620E-003,-792.43900E-006,112.90370E-006
1,1,57,-137.79330E-003,-787.82300E-006,108.55673E-006
1,1,58,-133.10990E-003,-787.21300E-006,104.78584E-006
1,1,59,-128.42490E-003,-784.35600E-006,100.73084E-006
1,1,60,-123.74550E-003,-784.98600E-006,97.13849E-006
1,1,61,-119.06390E-003,-782.29200E-006,93.14274E-006
1,1,62,-114.38100E-003,-780.99300E-006,89.33076E-006
1,1,63,-109.69800E-003,-782.40600E-006,85.82837E-006
1,1,64,-105.01590E-003,-779.16500E-006,81.82471E-006
1,1,65,-100.33340E-003,-775.38400E-006,77.79691E-006
1,1,66,-95.65100E-003,-770.14600E-006,73.66524E-006
1,1,67,-90.97080E-003,-774.75600E-006,70.48017E-006
1,1,68,-86.28840E-003,-773.09100E-006,66.70879E-006
1,1,69,-81.61020E-003,-766.00900E-006,62.51415E-006
1,1,70,-76.91870E-003,-764.27900E-006,58.78735E-006
1,1,71,-72.24070E-003,-768.10300E-006,55.48830E-006
1,1,72,-67.55980E-003,-766.30800E-006,51.77162E-006
1,1,73,-62.87990E-003,-757.49600E-006,47.63127E-006
1,1,74,-58.19430E-003,-755.88300E-006,43.98808E-006
1,1,75,-53.51180E-003,-758.71100E-006,40.59999E-006
1,1,76,-48.83080E-003,-758.18200E-006,37.02263E-006
1,1,77,-44.14850E-003,-748.56300E-006,33.04793E-006
1,1,78,-39.46320E-003,-749.10800E-006,29.56220E-006
1,1,79,-34.78190E-003,-753.62800E-006,26.21261E-006
1,1,80,-30.10300E-003,-753.47600E-006,22.68189E-006
1,1,81,-25.41700E-003,-744.78500E-006,18.93020E-006
1,1,82,-20.73430E-003,-743.95700E-006,15.42543E-006
1,1,83,-16.05070E-003,-749.33500E-006,12.02735E-006
1,1,84,-11.37400E-003,-744.40300E-006,8.46684E-006
1,1,85,-6.69430E-003,-739.70400E-006,4.95180E-006
1,1,86,-2.00440E-003,-736.58200E-006,1.47640E-006
1,1,87,2.67860E-003,-740.75000E-006,-1.98417E-006
1,1,88,7.35860E-003,-737.11100E-006,-5.42411E-006
1,1,89,12.03960E-003,-731.84000E-006,-8.81106E-006
1,1,90,16.72370E-003,-730.84400E-006,-12.22242E-006
1,1,91,21.40470E-003,-730.80700E-006,-15.64270E-006
1,1,92,26.08620E-003,-732.16600E-006,-19.09943E-006
1,1,93,30.76950E-003,-727.02000E-006,-22.37004E-006
1,1,94,35.44930E-003,-723.76300E-006,-25.65689E-006
1,1,95,40.13550E-003,-721.08600E-006,-28.94115E-006
1,1,96,44.81560E-003,-723.05900E-006,-32.40432E-006
1,1,97,49.49820E-003,-720.09700E-006,-35.64351E-006
1,1,98,54.17750E-003,-715.80600E-006,-38.78058E-006
1,1,99,58.86660E-003,-713.28800E-006,-41.98884E-006
1,1,100,63.54620E-003,-715.47600E-006,-45.46578E-006
1,1,101,68.22550E-003,-713.52200E-006,-48.68040E-006
1,1,102,72.90750E-003,-704.84000E-006,-51.38812E-006
1,1,103,77.59270E-003,-705.93000E-006,-54.77501E-006
1,1,104,82.27420E-003,-707.10300E-006,-58.17633E-006
1,1,105,86.95510E-003,-703.61100E-006,-61.18256E-006
1,1,106,91.64120E-003,-693.79700E-006,-63.58039E-006
1,1,107,96.32230E-003,-692.98500E-006,-66.74991E-006
1,1,108,101.00320E-003,-694.34900E-006,-70.13147E-006
1,1,109,105.68100E-003,-690.38600E-006,-72.96068E-006
1,1,110,110.36910E-003,-682.37900E-006,-75.31356E-006
1,1,111,115.04720E-003,-686.69900E-006,-79.00280E-006
1,1,112,119.73210E-003,-680.77500E-006,-81.51062E-006
1,1,113,124.41610E-003,-678.06000E-006,-84.36158E-006
1,1,114,129.10090E-003,-679.56400E-006,-87.73232E-006
1,1,115,133.77670E-003,-676.17100E-006,-90.45593E-006
1,1,116,138.46070E-003,-673.53900E-006,-93.25868E-006
1,1,117,143.14380E-003,-669.73500E-006,-95.86841E-006
1,1,118,147.82880E-003,-669.39400E-006,-98.95571E-006
1,1,119,152.50970E-003,-666.28500E-006,-101.61493E-006
1,1,120,157.19000E-003,-663.13400E-006,-104.23803E-006
1,1,121,161.87310E-003,-659.22200E-006,-106.71031E-006
1,1,122,166.55270E-003,-655.18200E-006,-109.12233E-006
1,1,123,171.23630E-003,-654.95000E-006,-112.15121E-006
1,1,124,175.91970E-003,-651.16900E-006,-114.55346E-006
1,1,125,180.59950E-003,-646.98900E-006,-116.84589E-006
1,1,126,185.28500E-003,-643.85000E-006,-119.29575E-006
1,1,127,189.96790E-003,-645.36100E-006,-122.59787E-006
1,1,128,194.64860E-003,-641.04800E-006,-124.77910E-006
1,1,129,199.33130E-003,-632.15700E-006,-126.00868E-006
1,1,130,204.01350E-003,-633.48000E-006,-129.23847E-006
1,1,131,208.69600E-003,-634.29200E-006,-132.37420E-006
1,1,132,213.37500E-003,-631.07700E-006,-134.65605E-006
1,1,133,218.06000E-003,-621.39700E-006,-135.50183E-006
1,1,134,222.74400E-003,-622.53200E-006,-138.66527E-006
1,1,135,227.42200E-003,-622.18000E-006,-141.49742E-006
1,1,136,232.10700E-003,-615.06800E-006,-142.76159E-006
1,1,137,236.79100E-003,-613.79600E-006,-145.34137E-006
1,1,138,241.47200E-003,-616.48900E-006,-148.86483E-006
1,1,139,246.14800E-003,-613.98400E-006,-151.13093E-006
1,1,140,250.83800E-003,-600.25000E-006,-150.56551E-006
1,1,141,255.52400E-003,-599.48400E-006,-153.18255E-006
