Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-400.00000E-003,-799.25600E-006,319.70240E-006
1,1,2,-395.32000E-003,-800.12000E-006,316.30344E-006
1,1,3,-390.63900E-003,-803.04600E-006,313.70109E-006
1,1,4,-385.95200E-003,-796.20100E-006,307.29537E-006
1,1,5,-381.27400E-003,-793.40000E-006,302.50279E-006
1,1,6,-376.58800E-003,-794.25200E-006,299.10577E-006
1,1,7,-371.91400E-003,-789.76000E-006,293.72280E-006
1,1,8,-367.22000E-003,-785.31000E-006,288.38154E-006
1,1,9,-362.54000E-003,-784.11500E-006,284.27305E-006
1,1,10,-357.86100E-003,-786.04600E-006,281.29521E-006
1,1,11,-353.17900E-003,-781.58900E-006,276.04082E-006
1,1,12,-348.48900E-003,-779.22300E-006,271.55064E-006
1,1,13,-343.81000E-003,-779.29600E-006,267.92976E-006
1,1,14,-339.13300E-003,-780.51100E-006,264.69704E-006
1,1,15,-334.45200E-003,-777.97800E-006,260.19630E-006
1,1,16,-329.77300E-003,-773.16000E-006,254.96729E-006
1,1,17,-325.08200E-003,-765.40700E-006,248.82004E-006
1,1,18,-320.40200E-003,-757.21800E-006,242.61416E-006
1,1,19,-315.71800E-003,-759.28200E-006,239.71899E-006
1,1,20,-311.03800E-003,-760.19800E-006,236.45047E-006
1,1,21,-306.34900E-003,-764.47800E-006,234.19707E-006
1,1,22,-301.66600E-003,-764.89200E-006,230.74191E-006
1,1,23,-296.99100E-003,-766.17300E-006,227.54649E-006
1,1,24,-292.31200E-003,-761.20300E-006,222.50877E-006
1,1,25,-287.63100E-003,-752.27100E-006,216.37646E-006
1,1,26,-282.94100E-003,-752.29500E-006,212.85510E-006
1,1,27,-278.25800E-003,-753.23600E-006,209.59394E-006
1,1,28,-273.58100E-003,-752.75400E-006,205.93919E-006
1,1,29,-268.89800E-003,-745.73500E-006,200.52665E-006
1,1,30,-264.20500E-003,-746.42500E-006,197.20922E-006
1,1,31,-259.53100E-003,-745.70000E-006,193.53227E-006
1,1,32,-254.85200E-003,-742.98700E-006,189.35172E-006
1,1,33,-250.16600E-003,-737.34600E-006,184.45890E-006
1,1,34,-245.47800E-003,-737.49200E-006,181.03806E-006
1,1,35,-240.79700E-003,-737.77200E-006,177.65328E-006
1,1,36,-236.12500E-003,-734.65800E-006,173.47112E-006
1,1,37,-231.44000E-003,-730.60000E-006,169.09006E-006
1,1,38,-226.75900E-003,-729.64600E-006,165.45380E-006
1,1,39,-222.06800E-003,-733.02700E-006,162.78184E-006
1,1,40,-217.39100E-003,-727.76300E-006,158.20913E-006
1,1,41,-212.71000E-003,-723.58800E-006,153.91440E-006
1,1,42,-208.02730E-003,-721.29400E-006,150.04884E-006
1,1,43,-203.34560E-003,-724.02800E-006,147.22791E-006
1,1,44,-198.66230E-003,-720.43000E-006,143.12228E-006
1,1,45,-193.98090E-003,-716.83500E-006,139.05230E-006
1,1,46,-189.29720E-003,-713.58500E-006,135.07964E-006
1,1,47,-184.61510E-003,-713.52800E-006,131.72804E-006
1,1,48,-179.93050E-003,-713.58300E-006,128.39535E-006
1,1,49,-175.25200E-003,-709.64900E-006,124.36741E-006
1,1,50,-170.56780E-003,-706.15000E-006,120.44645E-006
1,1,51,-165.88270E-003,-703.28800E-006,116.66331E-006
1,1,52,-161.20410E-003,-706.15600E-006,113.83524E-006
1,1,53,-156.52380E-003,-702.35900E-006,109.93590E-006
1,1,54,-151.83830E-003,-696.89600E-006,105.81550E-006
1,1,55,-147.15700E-003,-694.32900E-006,102.17537E-006
1,1,56,-142.47310E-003,-697.58800E-006,99.38752E-006
1,1,57,-137.79210E-003,-695.41800E-006,95.82311E-006
1,1,58,-133.11160E-003,-686.84400E-006,91.42690E-006
1,1,59,-128.42890E-003,-687.39000E-006,88.28074E-006
1,1,60,-123.74340E-003,-688.19200E-006,85.15922E-006
1,1,61,-119.06530E-003,-685.41400E-006,81.60902E-006
1,1,62,-114.38310E-003,-677.05700E-006,77.44388E-006
1,1,63,-109.69570E-003,-678.07900E-006,74.38235E-006
1,1,64,-105.01640E-003,-680.28900E-006,71.44150E-006
1,1,65,-100.33780E-003,-675.12500E-006,67.74056E-006
1,1,66,-95.65080E-003,-670.53900E-006,64.13759E-006
1,1,67,-90.96820E-003,-669.38100E-006,60.89238E-006
1,1,68,-86.28560E-003,-670.97400E-006,57.89539E-006
1,1,69,-81.60530E-003,-664.71900E-006,54.24459E-006
1,1,70,-76.92260E-003,-661.63600E-006,50.89476E-006
1,1,71,-72.23920E-003,-661.08000E-006,47.75589E-006
1,1,72,-67.55820E-003,-663.38700E-006,44.81723E-006
1,1,73,-62.87580E-003,-657.54300E-006,41.34354E-006
1,1,74,-58.19400E-003,-653.98400E-006,38.05794E-006
1,1,75,-53.51080E-003,-653.79500E-006,34.98509E-006
1,1,76,-48.82870E-003,-653.43500E-006,31.90638E-006
1,1,77,-44.14830E-003,-651.60700E-006,28.76734E-006
1,1,78,-39.46800E-003,-644.92700E-006,25.45398E-006
1,1,79,-34.78390E-003,-641.30800E-006,22.30719E-006
1,1,80,-30.09870E-003,-637.98300E-006,19.20246E-006
1,1,81,-25.41790E-003,-636.53600E-006,16.17941E-006
1,1,82,-20.73910E-003,-631.99000E-006,13.10690E-006
1,1,83,-16.05560E-003,-630.39700E-006,10.12140E-006
1,1,84,-11.36830E-003,-629.94300E-006,7.16138E-006
1,1,85,-6.68880E-003,-629.61100E-006,4.21134E-006
1,1,86,-2.00710E-003,-623.90700E-006,1.25224E-006
1,1,87,2.67470E-003,-619.29700E-006,-1.65643E-006
1,1,88,7.36130E-003,-622.81000E-006,-4.58469E-006
1,1,89,12.03880E-003,-621.95000E-006,-7.48753E-006
1,1,90,16.72110E-003,-617.85500E-006,-10.33122E-006
1,1,91,21.40500E-003,-610.72400E-006,-13.07255E-006
1,1,92,26.09020E-003,-614.33500E-006,-16.02812E-006
1,1,93,30.77000E-003,-615.73500E-006,-18.94617E-006
1,1,94,35.44800E-003,-608.72800E-006,-21.57819E-006
1,1,95,40.13630E-003,-604.47500E-006,-24.26139E-006
1,1,96,44.81950E-003,-606.64200E-006,-27.18939E-006
1,1,97,49.49990E-003,-607.43700E-006,-30.06807E-006
1,1,98,54.17820E-003,-598.16100E-006,-32.40729E-006
1,1,99,58.86350E-003,-593.51300E-006,-34.93625E-006
1,1,100,63.54510E-003,-596.03900E-006,-37.87536E-006
1,1,101,68.22700E-003,-594.54300E-006,-40.56389E-006
1,1,102,72.90800E-003,-586.75400E-006,-42.77906E-006
1,1,103,77.59210E-003,-584.08000E-006,-45.31999E-006
