Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-400.00200E-003,-911.62000E-006,364.64982E-006
1,1,2,-395.32100E-003,-905.98000E-006,358.15292E-006
1,1,3,-390.64100E-003,-906.55000E-006,354.13560E-006
1,1,4,-385.94900E-003,-907.48000E-006,350.24100E-006
1,1,5,-381.26900E-003,-905.82000E-006,345.36109E-006
1,1,6,-376.58900E-003,-903.40000E-006,340.21050E-006
1,1,7,-371.91100E-003,-902.12000E-006,335.50835E-006
1,1,8,-367.22400E-003,-900.06000E-006,330.52363E-006
1,1,9,-362.53900E-003,-894.96000E-006,324.45790E-006
1,1,10,-357.85600E-003,-899.04000E-006,321.72686E-006
1,1,11,-353.17800E-003,-906.99000E-006,320.32891E-006
1,1,12,-348.49100E-003,-905.16000E-006,315.44011E-006
1,1,13,-343.80900E-003,-900.85000E-006,309.72034E-006
1,1,14,-339.13300E-003,-899.38000E-006,305.00944E-006
1,1,15,-334.44800E-003,-903.25000E-006,302.09016E-006
1,1,16,-329.77000E-003,-897.73000E-006,296.04442E-006
1,1,17,-325.07900E-003,-895.07000E-006,290.96846E-006
1,1,18,-320.39600E-003,-895.90300E-006,287.04374E-006
1,1,19,-315.71900E-003,-896.51400E-006,283.04650E-006
1,1,20,-311.04100E-003,-896.15800E-006,278.74188E-006
1,1,21,-306.35300E-003,-889.62500E-006,272.53929E-006
1,1,22,-301.67100E-003,-891.56400E-006,268.95900E-006
1,1,23,-296.98900E-003,-891.68900E-006,264.82182E-006
1,1,24,-292.31300E-003,-889.76100E-006,260.08871E-006
1,1,25,-287.62900E-003,-884.89100E-006,254.52031E-006
1,1,26,-282.94100E-003,-880.48400E-006,249.12502E-006
1,1,27,-278.25700E-003,-882.03500E-006,245.43241E-006
1,1,28,-273.58100E-003,-881.98200E-006,241.29352E-006
1,1,29,-268.90200E-003,-879.05300E-006,236.37911E-006
1,1,30,-264.21100E-003,-873.49500E-006,230.78699E-006
1,1,31,-259.52700E-003,-879.20900E-006,228.17847E-006
1,1,32,-254.85000E-003,-878.33500E-006,223.84367E-006
1,1,33,-250.17400E-003,-874.84500E-006,218.86347E-006
1,1,34,-245.47600E-003,-871.08400E-006,213.83022E-006
1,1,35,-240.79700E-003,-875.13200E-006,210.72916E-006
1,1,36,-236.11400E-003,-877.86400E-006,207.27598E-006
